SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,N_RUNS,AUROC (Mean ± SD),AUPRC (Mean ± SD),F1-Score (Mean ± SD),Brier (Mean ± SD),ECE (Mean ± SD)
F,GES,FFMLP,1,1,1d7f152d06cd3fe6,5,0.470 ± 0.041,0.024 ± 0.002,0.043 ± 0.000,0.02167 ± 0.00004,0.00642 ± 0.00294
F,GES,FFMLP,2,2,ff0397322a3d5d90,5,0.405 ± 0.040,0.019 ± 0.004,0.043 ± 0.000,0.02170 ± 0.00006,0.00270 ± 0.00243
F,GES,FFMLP,3,3,050527a740ae0026,5,0.460 ± 0.097,0.025 ± 0.009,0.043 ± 0.000,0.02167 ± 0.00004,0.00316 ± 0.00200
F,GES,FFMLP,4,4,e6c20743d2697131,5,0.511 ± 0.015,0.023 ± 0.001,0.044 ± 0.001,0.02167 ± 0.00009,0.00135 ± 0.00154
F,GES,FFMLP,5,5,84c9d88f2762407d,5,0.488 ± 0.012,0.021 ± 0.001,0.045 ± 0.002,0.02170 ± 0.00006,0.00104 ± 0.00075
F,GES,FFMLP,6,6,82d6016092529b79,5,0.670 ± 0.042,0.045 ± 0.012,0.047 ± 0.006,0.02163 ± 0.00005,0.00143 ± 0.00041
F,GES,FFMLP,7,7,e100ab5953b3e063,5,0.598 ± 0.025,0.032 ± 0.004,0.046 ± 0.003,0.02167 ± 0.00003,0.00125 ± 0.00112
F,GES,FFMLP,8,8,89de563635bcbd2c,5,0.638 ± 0.052,0.039 ± 0.010,0.047 ± 0.002,0.02182 ± 0.00030,0.00226 ± 0.00100
F,GES,FFMLP,9,9,d7b238a88ea0323e,5,0.663 ± 0.011,0.039 ± 0.002,0.079 ± 0.008,0.02181 ± 0.00015,0.00256 ± 0.00104
F,GES,FFMLP,10,10,0de4f86da9a59fff,5,0.666 ± 0.010,0.038 ± 0.003,0.080 ± 0.006,0.02180 ± 0.00017,0.00235 ± 0.00096
F,GES,FFMLP,11,11,56570fad43698001,5,0.667 ± 0.008,0.038 ± 0.002,0.078 ± 0.005,0.02192 ± 0.00030,0.00208 ± 0.00059
F,GES,FFMLP,12,12,00d70da8e9622c65,5,0.666 ± 0.015,0.043 ± 0.007,0.090 ± 0.025,0.02198 ± 0.00028,0.00183 ± 0.00027
F,GES,FFMLP,13,13,a32e33bf80e29d23,5,0.710 ± 0.008,0.052 ± 0.002,0.107 ± 0.015,0.02181 ± 0.00029,0.00254 ± 0.00094
F,GES,FFMLP,14,14,5f6720543a9e57a0,5,0.719 ± 0.005,0.052 ± 0.003,0.105 ± 0.014,0.02195 ± 0.00018,0.00346 ± 0.00128
F,GES,FFMLP,15,15,85cfaa789ded5eb5,5,0.725 ± 0.017,0.058 ± 0.004,0.091 ± 0.028,0.02176 ± 0.00024,0.00283 ± 0.00073
F,GES,FFMLP,16,16,f1d74ec51da3a8a5,5,0.729 ± 0.009,0.060 ± 0.002,0.099 ± 0.032,0.02163 ± 0.00028,0.00255 ± 0.00077
F,GES,FFMLP,17,17,e937e198b6c28991,5,0.722 ± 0.019,0.059 ± 0.006,0.122 ± 0.023,0.02198 ± 0.00013,0.00352 ± 0.00097
